"date","vip_level","population","total_gem_used"
"2014-07-01","0","2652","735790"
"2014-07-01","1","2106","2255458"
"2014-07-01","2","25460","262245450"
"2014-07-01","3","11736","248461685"
"2014-07-01","4","1183","32344076"
"2014-07-01","5","2394","79028826"
"2014-07-01","6","1512","64025274"
"2014-07-01","7","1718","87999052"
"2014-07-01","8","2455","204513009"
"2014-07-01","9","1317","183474828"
"2014-07-01","10","1325","281421200"
"2014-07-01","11","1275","449632988"
"2014-07-01","12","793","502331283"
"2014-07-01","13","475","826581964"
"2014-07-02","0","3182","882952"
"2014-07-02","1","2248","2305934"
"2014-07-02","2","25327","260784933"
"2014-07-02","3","11675","247439951"
"2014-07-02","4","1167","32260800"
"2014-07-02","5","2370","78707587"
"2014-07-02","6","1520","64561000"
"2014-07-02","7","1696","86972768"
"2014-07-02","8","2477","206046649"
"2014-07-02","9","1324","184388164"
"2014-07-02","10","1325","282108432"
"2014-07-02","11","1286","452849333"
"2014-07-02","12","792","502173084"
"2014-07-02","13","476","831613271"
"2014-07-03","0","2774","789124"
"2014-07-03","1","2009","2122877"
"2014-07-03","2","24787","256899044"
"2014-07-03","3","11590","246837945"
"2014-07-03","4","1186","32471977"
"2014-07-03","5","2400","79434645"
"2014-07-03","6","1515","64714499"
"2014-07-03","7","1678","86001274"
"2014-07-03","8","2430","201655217"
"2014-07-03","9","1321","184305540"
"2014-07-03","10","1324","282419952"
"2014-07-03","11","1282","450813864"
"2014-07-03","12","781","496491994"
"2014-07-03","13","478","839879475"
"2014-07-04","0","2507","791965"
"2014-07-04","1","1903","2018827"
"2014-07-04","2","24257","252776197"
"2014-07-04","3","11292","241768625"
"2014-07-04","4","1145","31829963"
"2014-07-04","5","2331","77586081"
"2014-07-04","6","1467","62908271"
"2014-07-04","7","1653","85495247"
"2014-07-04","8","2423","202143112"
"2014-07-04","9","1294","181164388"
"2014-07-04","10","1321","281948607"
"2014-07-04","11","1281","450615280"
"2014-07-04","12","776","493623257"
"2014-07-04","13","484","830497987"
"2014-07-05","0","3323","820587"
"2014-07-05","1","2404","2149424"
"2014-07-05","2","29502","269158617"
"2014-07-05","3","11607","246292972"
"2014-07-05","4","1145","31779357"
"2014-07-05","5","2400","79394472"
"2014-07-05","6","1492","63439555"
"2014-07-05","7","1676","86543512"
"2014-07-05","8","2495","206563033"
"2014-07-05","9","1315","183407904"
"2014-07-05","10","1319","280574770"
"2014-07-05","11","1272","448351470"
"2014-07-05","12","772","491517132"
"2014-07-05","13","481","847472463"
"2014-07-06","0","2569","744863"
"2014-07-06","1","2077","2025711"
"2014-07-06","2","28254","265789053"
"2014-07-06","3","11588","245741420"
"2014-07-06","4","1155","32191621"
"2014-07-06","5","2383","78808690"
"2014-07-06","6","1470","62758838"
"2014-07-06","7","1675","86546295"
"2014-07-06","8","2480","205735046"
"2014-07-06","9","1298","181234732"
"2014-07-06","10","1312","280178869"
"2014-07-06","11","1277","451253783"
"2014-07-06","12","786","500097123"
"2014-07-06","13","484","853125752"
"2014-07-07","0","2375","799485"
"2014-07-07","1","1880","2071796"
"2014-07-07","2","28783","268065084"
"2014-07-07","3","11590","246029319"
"2014-07-07","4","1153","32009524"
"2014-07-07","5","2346","77945781"
"2014-07-07","6","1452","62218210"
"2014-07-07","7","1670","86577174"
"2014-07-07","8","2486","206795906"
"2014-07-07","9","1313","183325662"
"2014-07-07","10","1321","282252552"
"2014-07-07","11","1266","448298993"
"2014-07-07","12","776","494705130"
"2014-07-07","13","483","836229488"
"2014-07-08","0","2572","695234"
"2014-07-08","1","2086","1917989"
"2014-07-08","2","24154","249574848"
"2014-07-08","3","11247","239949441"
"2014-07-08","4","1133","31623896"
"2014-07-08","5","2300","77169949"
"2014-07-08","6","1447","62252661"
"2014-07-08","7","1646","85744474"
"2014-07-08","8","2427","201892742"
"2014-07-08","9","1287","180899863"
"2014-07-08","10","1305","278733649"
"2014-07-08","11","1250","442142597"
"2014-07-08","12","785","498406186"
"2014-07-08","13","487","836395613"
"2014-07-09","0","2565","730295"
"2014-07-09","1","1873","1918811"
"2014-07-09","2","23907","245624212"
"2014-07-09","3","11143","238682595"
"2014-07-09","4","1119","31031712"
"2014-07-09","5","2249","75737582"
"2014-07-09","6","1421","60548050"
"2014-07-09","7","1618","84511891"
"2014-07-09","8","2379","198433190"
"2014-07-09","9","1275","178258921"
"2014-07-09","10","1295","276367290"
"2014-07-09","11","1243","438685310"
"2014-07-09","12","781","495182597"
"2014-07-09","13","490","863762263"
"2014-07-10","0","2643","787971"
"2014-07-10","1","1906","2147118"
"2014-07-10","2","23730","244214876"
"2014-07-10","3","10921","234994498"
"2014-07-10","4","1129","31327936"
"2014-07-10","5","2250","75524254"
"2014-07-10","6","1429","61385294"
"2014-07-10","7","1606","83404841"
"2014-07-10","8","2382","197968574"
"2014-07-10","9","1268","178086242"
"2014-07-10","10","1283","273781406"
"2014-07-10","11","1237","437621170"
"2014-07-10","12","782","497275773"
"2014-07-10","13","489","859611459"
"2014-07-11","0","2446","1048980"
"2014-07-11","1","1860","1974431"
"2014-07-11","2","23247","241044133"
"2014-07-11","3","10983","236583233"
"2014-07-11","4","1092","30529401"
"2014-07-11","5","2234","75142348"
"2014-07-11","6","1428","61090368"
"2014-07-11","7","1618","84429283"
"2014-07-11","8","2368","197537247"
"2014-07-11","9","1264","177515646"
"2014-07-11","10","1267","271541928"
"2014-07-11","11","1245","440973316"
"2014-07-11","12","773","492728989"
"2014-07-11","13","484","853530218"
"2014-07-12","0","2031","688797"
"2014-07-12","1","1796","2001167"
"2014-07-12","2","23250","240188823"
"2014-07-12","3","10816","234066439"
"2014-07-12","4","1103","30673921"
"2014-07-12","5","2244","75957036"
"2014-07-12","6","1418","61065731"
"2014-07-12","7","1586","82592825"
"2014-07-12","8","2350","196841151"
"2014-07-12","9","1269","178432901"
"2014-07-12","10","1277","273093507"
